#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1891 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:80 out:80 type:B dur:2 cpbdur:2 q:35.64 aq:35.02 tex:53915 mv:27012 misc:2681 imb:685 pmb:1733 smb:1182 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:35.53 aq:35.84 tex:31311 mv:23247 misc:3042 imb:398 pmb:1577 smb:1625 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:35.74 aq:36.46 tex:20258 mv:13238 misc:3128 imb:151 pmb:1268 smb:2181 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:35.70 aq:33.32 tex:147106 mv:28097 misc:1189 imb:2048 pmb:1263 smb:289 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:35.77 aq:34.73 tex:50856 mv:27385 misc:2871 imb:557 pmb:1794 smb:1249 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:35.80 aq:36.26 tex:21146 mv:18523 misc:3259 imb:188 pmb:1461 smb:1951 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:35.73 aq:35.35 tex:36028 mv:23081 misc:2635 imb:551 pmb:1360 smb:1689 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:35.71 aq:33.12 tex:121919 mv:28069 misc:1644 imb:1564 pmb:1697 smb:339 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:35.71 aq:34.69 tex:42835 mv:27115 misc:3018 imb:547 pmb:1744 smb:1309 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:35.70 aq:35.61 tex:21745 mv:19072 misc:2967 imb:259 pmb:1275 smb:2066 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:35.71 aq:35.54 tex:24789 mv:18512 misc:3107 imb:301 pmb:1441 smb:1858 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:36.10 aq:33.05 tex:133377 mv:29470 misc:1657 imb:1452 pmb:1741 smb:407 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:35.91 aq:34.98 tex:32287 mv:23451 misc:3134 imb:242 pmb:1669 smb:1689 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:35.81 aq:36.67 tex:12232 mv:15088 misc:3080 imb:88 pmb:1158 smb:2354 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:36.01 aq:37.26 tex:8141 mv:10770 misc:2801 imb:25 pmb:951 smb:2624 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:36.51 aq:33.43 tex:90554 mv:25583 misc:2439 imb:841 pmb:1977 smb:782 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:36.30 aq:35.36 tex:29390 mv:19593 misc:3025 imb:209 pmb:1549 smb:1842 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:36.20 aq:37.32 tex:7379 mv:10850 misc:2739 imb:36 pmb:910 smb:2654 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:36.41 aq:37.31 tex:6980 mv:9167 misc:2677 imb:56 pmb:845 smb:2699 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:36.79 aq:34.32 tex:26521 mv:9607 misc:3352 imb:61 pmb:1473 smb:2066 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:36.85 aq:34.61 tex:64476 mv:23504 misc:2668 imb:964 pmb:1671 smb:965 d:- ref:0 w:0,1,4 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:36.82 aq:35.15 tex:25190 mv:20039 misc:3491 imb:246 pmb:1742 smb:1612 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:36.81 aq:36.82 tex:5072 mv:7479 misc:2721 imb:40 pmb:785 smb:2775 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:36.84 aq:37.45 tex:8760 mv:12038 misc:2826 imb:63 pmb:996 smb:2541 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:36.93 aq:34.49 tex:121838 mv:25678 misc:1628 imb:1894 pmb:1206 smb:500 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:36.89 aq:36.15 tex:41909 mv:28675 misc:2832 imb:714 pmb:1544 smb:1342 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:36.87 aq:37.15 tex:21763 mv:18465 misc:2908 imb:241 pmb:1250 smb:2109 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:36.91 aq:37.48 tex:11849 mv:13229 misc:3098 imb:95 pmb:1225 smb:2280 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:36.82 aq:34.54 tex:98481 mv:27465 misc:1870 imb:1550 pmb:1519 smb:531 d:- ref:0 ;
